                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 0.9051,                 1.5312,                 1.3162,                  1.369,                0.50557,                0.69978,                0.60407,                0.46683,                0.50097,                0.69455,                0.59486,                0.45418,                0.79393,                 1.6135,                 1.2136,                 1.3386,              0.0011319,              0.0011319,              0.0011319
                     45,                0.89088,                 1.4795,                 1.2921,                 1.3607,                0.49881,                0.69463,                0.59938,                0.44118,                0.48202,                0.67105,                0.57075,                0.43356,                0.82744,                 1.5617,                 1.2366,                 1.3566,              0.0011248,              0.0011248,              0.0011248
                     46,                0.88668,                 1.5039,                 1.2918,                  1.346,                 0.4955,                0.67251,                0.58754,                0.43502,                0.48253,                0.65697,                0.56082,                 0.4283,                0.82125,                 1.5886,                 1.2408,                 1.3078,              0.0011178,              0.0011178,              0.0011178
                     47,                0.89855,                 1.5336,                  1.285,                 1.3658,                0.50073,                0.69723,                0.56895,                 0.4301,                0.51178,                0.63616,                0.54966,                0.41845,                 0.8027,                 1.6712,                 1.2907,                 1.3261,              0.0011107,              0.0011107,              0.0011107
                     48,                  0.931,                 1.5753,                  1.304,                 1.3903,                0.47735,                0.66125,                0.54355,                0.41669,                0.46989,                0.65131,                0.52492,                0.40968,                0.83609,                 1.6185,                 1.2937,                 1.3725,              0.0011036,              0.0011036,              0.0011036
                     49,                0.87946,                 1.4855,                 1.2679,                 1.3454,                0.51657,                0.69803,                0.60588,                0.45361,                0.50205,                0.67908,                0.57577,                0.43663,                0.81939,                 1.6666,                 1.1876,                 1.3654,              0.0010965,              0.0010965,              0.0010965
                     50,                0.92043,                   1.57,                  1.317,                 1.3846,                0.57388,                0.69157,                0.62736,                0.47915,                0.56402,                0.67943,                0.60237,                0.46157,                0.82062,                 1.6742,                 1.1359,                 1.3572,              0.0010895,              0.0010895,              0.0010895
                     51,                0.90506,                  1.548,                 1.2893,                 1.3719,                0.56507,                0.64188,                0.60235,                 0.4554,                0.54333,                0.61805,                0.57701,                0.44167,                0.77746,                 1.6877,                  1.129,                 1.3096,              0.0010824,              0.0010824,              0.0010824
                     52,                0.88389,                 1.5037,                 1.2762,                 1.3721,                0.51677,                0.69167,                0.54979,                0.42771,                 0.5058,                0.68012,                 0.5297,                0.41884,                0.79627,                 1.6137,                 1.2315,                 1.3267,              0.0010753,              0.0010753,              0.0010753
                     53,                0.87157,                 1.4911,                 1.2483,                 1.3474,                0.50712,                 0.6993,                0.56071,                0.43323,                0.48645,                0.68709,                0.53936,                0.42859,                0.81686,                 1.5185,                  1.274,                 1.3609,              0.0010682,              0.0010682,              0.0010682
                     54,                0.87035,                 1.4466,                 1.2535,                 1.3391,                0.56231,                 0.6627,                0.62006,                0.48154,                0.55174,                0.64365,                0.60695,                0.47158,                0.81443,                 1.5538,                 1.1727,                  1.349,              0.0010612,              0.0010612,              0.0010612
                     55,                 0.8494,                 1.4312,                 1.2633,                 1.3166,                0.53286,                0.67897,                0.58883,                0.45408,                0.52569,                0.65801,                0.56837,                0.44201,                 0.7551,                 1.6044,                 1.2142,                 1.2992,              0.0010541,              0.0010541,              0.0010541
                     56,                0.86525,                 1.4973,                 1.2725,                 1.3384,                0.56397,                0.67877,                0.60951,                0.47491,                0.55379,                0.66602,                0.59055,                0.46248,                0.77473,                 1.6058,                 1.1268,                 1.3054,               0.001047,               0.001047,               0.001047
                     57,                0.85927,                 1.4439,                 1.2365,                 1.3196,                0.63219,                0.62792,                0.64081,                0.48984,                0.60535,                0.60809,                0.61043,                0.47691,                0.77542,                 1.6373,                 1.1101,                  1.337,                0.00104,                0.00104,                0.00104
                     58,                0.85276,                 1.4636,                 1.2338,                 1.3203,                 0.5473,                0.69127,                0.60369,                0.46107,                0.54044,                0.68056,                0.58639,                0.43901,                0.77367,                 1.6335,                 1.1646,                 1.3063,              0.0010329,              0.0010329,              0.0010329
                     59,                0.86264,                 1.4748,                 1.2592,                 1.3408,                0.47583,                0.74236,                0.60576,                0.45982,                0.46519,                0.72669,                0.58229,                 0.4444,                0.76087,                 1.5755,                 1.1385,                 1.2964,              0.0010258,              0.0010258,              0.0010258
                     60,                0.86159,                 1.4235,                 1.2233,                 1.3417,                0.55465,                0.70268,                0.62737,                 0.4789,                0.54423,                0.68835,                0.60828,                0.47391,                0.81723,                    1.6,                  1.134,                 1.3621,              0.0010187,              0.0010187,              0.0010187
                     61,                0.85076,                 1.4841,                 1.2472,                 1.3355,                0.54368,                0.60466,                0.59422,                0.46329,                0.52382,                0.58704,                 0.5737,                0.45473,                0.75904,                 1.6192,                 1.1092,                 1.3139,              0.0010117,              0.0010117,              0.0010117
                     62,                0.79297,                  1.421,                 1.2063,                 1.2726,                0.53693,                0.69941,                0.63272,                0.47479,                0.52324,                0.69467,                0.60796,                0.46479,                0.81459,                 1.5637,                 1.1576,                 1.3256,              0.0010046,              0.0010046,              0.0010046
                     63,                0.84208,                 1.4306,                 1.2342,                  1.301,                0.54022,                0.73715,                0.64305,                 0.4785,                0.52374,                0.71756,                0.61785,                0.45442,                0.79143,                 1.6563,                 1.1595,                 1.3227,             0.00099751,             0.00099751,             0.00099751
                     64,                 0.8165,                 1.4301,                 1.2051,                 1.3001,                0.54615,                0.69814,                0.63728,                0.50033,                0.57911,                0.61798,                0.61448,                0.48905,                0.73039,                  1.548,                 1.0913,                 1.2754,             0.00099044,             0.00099044,             0.00099044
                     65,                0.83095,                 1.4004,                 1.2036,                 1.3104,                0.51973,                0.71122,                0.59982,                0.46841,                0.50702,                0.69422,                0.58093,                0.45345,                0.73228,                 1.6261,                 1.1183,                  1.265,             0.00098337,             0.00098337,             0.00098337
                     66,                0.79236,                 1.3493,                 1.2084,                 1.2788,                   0.56,                0.67143,                0.62715,                0.48995,                0.54019,                0.67234,                0.60428,                0.47322,                0.78116,                 1.6553,                 1.1036,                  1.342,             0.00097629,             0.00097629,             0.00097629
                     67,                0.82327,                 1.4364,                 1.1691,                 1.3051,                0.54238,                0.71082,                0.61405,                0.46217,                0.52788,                0.69868,                0.58575,                0.45106,                0.78752,                  1.592,                 1.1214,                 1.3288,             0.00096922,             0.00096922,             0.00096922
                     68,                0.83072,                 1.4024,                 1.2146,                 1.3124,                0.54535,                0.65399,                0.60749,                 0.4607,                0.53906,                0.62775,                0.57589,                 0.4425,                0.76829,                 1.5813,                 1.1943,                 1.3183,             0.00096215,             0.00096215,             0.00096215
                     69,                0.82188,                 1.3844,                 1.2147,                 1.2928,                0.56066,                0.67356,                0.62611,                0.47863,                0.54174,                0.65539,                0.59951,                0.46581,                0.75791,                 1.6105,                 1.1523,                 1.3119,             0.00095507,             0.00095507,             0.00095507
                     70,                0.81035,                 1.3736,                 1.1838,                 1.3006,                0.53976,                0.71929,                0.62038,                0.48723,                0.52778,                0.70109,                 0.5999,                0.47625,                0.77705,                 1.5923,                 1.1278,                 1.3326,               0.000948,               0.000948,               0.000948
                     71,                0.80666,                 1.3927,                 1.1695,                 1.2795,                0.53063,                0.72554,                 0.6248,                0.47798,                  0.515,                0.70625,                0.59619,                0.45795,                 0.7548,                 1.6052,                  1.105,                 1.3155,             0.00094093,             0.00094093,             0.00094093
